Réunion,REU,36.4,39.2,7.7
Romania,ROU,27.7,30.1,8.7
Russia,RUS,49.4,49.8,0.8
Rwanda,RWA,11.6,11.2,-3.4
"Saudi Arabia",SAU,0.5,0.5,0
Sudan,SDN,11.8,9.9,-16.1
Senegal,SEN,46,41.9,-8.9
Singapore,SGP,25.4,21.7,-14.6
"Saint Helena, Ascension and Tristan da Cunha",SHN,5.1,5.1,0
"Solomon Islands",SLB,90.7,90.1,-0.7
"Sierra Leone",SLE,40.6,35.1,-13.5
"El Salvador",SLV,32.5,28.2,-13.2
"San Marino",SMR,16.7,16.7,0
Somalia,SOM,12,9.5,-20.8
"Saint Pierre and Miquelon",SPM,7.3,5.3,-27.4
Serbia,SRB,28.1,31.1,10.7
"South Sudan",SSD,11.3,11.3,0
"Sao Tome and Principe",STP,60.8,54.1,-11
Suriname,SUR,98.3,97.4,-0.9
Slovakia,SVK,39.5,40.1,1.5
Slovenia,SVN,61.2,61.5,0.5
Sweden,SWE,69.1,68.7,-0.6
Swaziland,SWZ,27.5,28.9,5.1
"Sint Maarten (Dutch part)",SXM,10.9,10.9,0
Seychelles,SYC,73.3,73.3,0
"Syrian Arab Republic",SYR,2.4,2.8,16.7
"Turks and Caicos Islands",TCA,11.1,11.1,0
Chad,TCD,5,3.4,-32
Togo,TGO,23.3,22.2,-4.7
Thailand,THA,37.2,38.9,4.6
Tajikistan,TJK,2.9,3.1,6.9
Turkmenistan,TKM,8.8,8.8,0
Timor-Leste,TLS,63.8,61.9,-3
Tonga,TON,12.4,12.4,0
"Trinidad and Tobago",TTO,46.1,44.5,-3.5
Tunisia,TUN,4.3,4.5,4.7
Turkey,TUR,26.2,28.9,10.3
Tuvalu,TUV,33.3,33.3,0
"Tanzania, United Republic of",TZA,60.6,51.6,-14.9
Uganda,UGA,15.8,11.7,-25.9
Ukraine,UKR,16.4,16.7,1.8
Uruguay,URY,7.8,11.6,48.7
"United States",USA,33.1,33.9,2.4
Uzbekistan,UZB,6.8,8.4,23.5
"Saint Vincent & the Grenadines",VCT,73.2,73.2,0
"Venezuela, Bolivarian Republic of",VEN,55.7,52.4,-5.9
"Virgin Islands, British",VGB,24.5,24.1,-1.6
"Virgin Islands, U.S.",VIR,58.5,56.9,-2.7
"Viet Nam",VNM,37.9,46.7,23.2
Vanuatu,VUT,36.3,36.3,0
"Wallis and Futuna",WLF,41.5,41.6,0.2
Samoa,WSM,60.5,57.1,-5.6
Yemen,YEM,1,1,0
"South Africa",ZAF,14.7,14.1,-4.1
Zambia,ZMB,63.3,60.3,-4.7
Zimbabwe,ZWE,47.5,45.1,-5.1
