country_code,1960,1970,1980,1990,2000,2010,2020
NCL,79000,112000,140050,170899,213230,249750,271080
NER,3497431,4669708,6173177,8370648,11622665,16647543,24333639
NGA,44928342,55569264,72951439,95214257,122851984,160952853,208327405
NIC,1789684,2444767,3303309,4227820,5123222,5855734,6755895
NLD,11486631,13038526,14149800,14951510,15925513,16615394,17441500
NOR,3581239,3875763,4085620,4241473,4490967,4889252,5379475
NPL,10167941,12501285,15600442,19616530,24559500,27161567,29348627
NRU,4582,6663,7635,9598,10377,10241,12315
NZL,2371800,2810700,3112900,3329800,3857700,4350700,5090200
OED,807630906,916668377,1018252563,1104791543,1200179492,1290949310,1369502262
OMN,536553,670693,1017462,1804524,2344253,2881914,4543399
OSS,5445174,6444640,7762924,9392516,10620985,12328684,13853034
PAK,45954226,59290872,80624057,115414069,154369924,194454498,227196741
PAN,1126989,1516188,1956987,2449968,3001731,3623617,4294396
PER,10172207,13562371,17492406,22109099,26654439,29229572,33304756
PHL,28486871,37435586,48419546,61558898,77958223,94636700,112190977
PLW,9446,11366,12252,15293,19726,18540,17972
PNG,1985666,2489059,3104788,3864972,5508297,7583269,9749640
POL,29637450,32664300,35574150,38110782,38258629,38042794,37899070
PRE,188484894,241726476,320890339,417144782,553089230,739525992,984213438
PRI,2358000,2718000,3206000,3537000,3810605,3721525,3281557
PRK,11655666,14996879,17973650,20799523,23367059,24686435,25867467
PRT,8857716,8680431,9766312,9983218,10289898,10573100,10297081
PRY,1894829,2408787,3078912,4059195,5123819,5768613,6618695
PSS,905537,1180979,1454737,1776243,2035672,2301401,2566819
PST,755575073,839994662,909780809,964048985,1020793420,1075047440,1117530670
PYF,84851,117891,163591,211089,250927,283788,301920
QAT,36385,118007,277450,441675,645937,1713504,2760385
ROU,18406905,20250398,22207282,23201835,22442971,20246871,19265250
RUS,119897000,130404000,139010000,147969406,146596869,142849468,145245148
RWA,2966162,3896367,5247532,7319962,8109989,10309031,13146362
SAS,571192428,720399195,904993069,1141312704,1406945493,1660546144,1882531620
SAU,4165563,6106191,10171710,16004763,21547390,29411929,35997107
SDN,8326462,11305206,16673586,21090886,26298773,33739933,44440486
SEN,3273177,4367744,5703869,7536001,9704287,12530121,16436120
SGP,1646400,2074507,2413945,3047132,4027887,5076732,5685807
SLB,133440,172833,233668,324171,429978,540394,691191
SLE,2301310,2778557,3367477,4325388,4584067,6436698,8233970
SLV,2779327,3619090,4508992,5367179,5958482,6114034,6292731
SMR,15556,18169,21346,23132,26823,31608,34007
SOM,2870732,3720977,5892224,6999096,8721465,12026649,16537016
SRB,6608000,6972000,7362000,7586000,7516346,7291436,6899126
SSA,227907169,293846963,388730206,516560181,671131355,879707649,1151203619
SSD,2907724,3342410,4192012,4750817,6114440,9714419,10606227
SSF,227948869,293900563,388793467,516629688,671212486,879797419,1151302081
SST,8070458,9730952,11498324,13568047,15294390,17490321,19526038
STP,68038,77583,97210,120343,143714,182138,218641
SUR,268396,379918,375112,412756,478998,546080,607065
SVK,4068095,4538223,4979815,5299187,5388720,5391428,5458827
SVN,1584720,1724891,1901315,1998161,1988925,2048583,2102419
SWE,7484656,8042801,8310531,8558835,8872109,9378126,10353442
SWZ,345065,442865,598564,854011,1030496,1099920,1180655
SXM,2646,6260,12243,27845,30519,34056,40350
SYC,41700,53600,63261,69507,81131,89770,98462
SYR,4610712,6319199,8898954,12408996,16307654,22337563,20772595
TCA,5604,5665,7598,11709,18744,29726,44276
TCD,3028688,3667394,4408230,5827069,8259137,11894727,16644701
TEA,884811163,1101191924,1339615160,1580447407,1793649873,1944510719,2090523535
TEC,307953778,351124926,389387079,428052009,435939387,441572315,462304330
TGO,1651367,2197383,2838110,3875947,5008035,6571855,8442580
THA,26596584,35791728,45737753,55228410,63066603,68270489,71475664
TJK,2131992,2993019,4045965,5417860,6272998,7621779,9543207
TKM,1602052,2201432,2862903,3720278,4569132,5267970,6250438
TLA,209162089,273707085,347846551,426738769,505569501,572949377,634961078
TLS,468573,554021,642224,758106,878360,1088486,1299995
TMN,97179656,126316235,167489905,226868111,280976957,339527169,407006855
TON,67428,86484,96708,98727,102603,107383,105254
TSA,571192428,720399195,904993069,1141312704,1406945493,1660546144,1882531620
TSS,227948869,293900563,388793467,516629688,671212486,879797419,1151302081
TTO,847063,988890,1127852,1266518,1332203,1410296,1518147
TUN,4195467,5047404,6578156,8440023,9893316,10895063,12161723
TUR,27510980,35540990,44089069,54324142,64113547,73142150,83384680
TUV,5404,5814,7731,9182,9638,10550,11069
TZA,10042458,13618192,19297659,26206012,34463704,45110527,61704518
UGA,7617746,10317212,13284026,17586630,24020697,32341728,44404611
UKR,42767251,47279086,49973920,51891400,49176500,45870741,44207754
UMC,1150380907,1438619338,1759117944,2089694834,2365641663,2573584518,2787915973
URY,2529021,2790265,2953750,3117012,3292224,3352651,3429086
USA,180671000,205052000,227225000,249623000,282162411,309327143,331526933
UZB,8372311,12011361,15947129,20510000,24650400,28562400,34232050
VCT,84141,98459,107480,112487,113813,109308,104632
VEN,8156937,11355475,15210443,19750579,24427729,28715022,28490453
VGB,7850,9581,11109,15617,20104,27556,30910
VIR,32500,63476,99636,103963,108642,108357,106290
VNM,32718461,41928849,52968270,66912613,79001142,87411012,96648685
VUT,64608,87019,118156,150882,192074,245453,311685
WLD,3031517384,3690229198,4442416674,5293498452,6144444748,6969894715,7821271846
WSM,113335,142771,164905,168186,184008,194672,214929
XKX,990150,1238238,1589395,1964986,1823286,1792563,1790133
YEM,5542459,6843607,9204938,13375121,18628700,24743946,32284046
ZAF,16520441,22368306,29463549,39877570,46813266,51784921,58801927
ZMB,3119430,4281671,5720438,7686401,9891136,13792086,18927715
ZWE,3806310,5202918,7049926,10113893,11834676,12839771,15669666
