"Country Name","Country code",1960,1970,1980,1990,2000,2010,2020
Macao,MAC,177014,247284,245332,350227,431896,557297,676283
"Saint Martin (French part)",MAF,4135,5802,7776,28127,29610,36458,32553
Morocco,MAR,11769774,15274351,19678444,24570814,28554415,32464865,36688772
Monaco,MCO,21797,24270,27076,30329,32465,33178,36922
"Moldova, Republic of",MDA,2074015,2456514,2716068,2965978,2924668,2862354,2635130
Madagascar,MDG,5073342,6639751,8948162,11882762,16216431,21731053,28225177
Maldives,MDV,91650,123243,164887,224957,282507,361575,514438
Mexico,MEX,36268055,50289306,67705186,81720428,97873442,112532401,125998302
"Marshall Islands",MHL,15374,23969,31988,46047,54224,53416,43413
"Macedonia, the former Yugoslav Republic of",MKD,1462368,1656783,1907023,2044174,2026350,1946298,1856124
Mali,MLI,5346792,6153587,7372581,8945026,11239101,15529181,21224040
Malta,MLT,326550,302650,316645,354170,390087,414508,515332
Burma,MMR,21720697,27284112,33465781,40099553,45538332,49390988,53423198
Montenegro,MNE,480579,512407,572608,606372,604950,619428,621306
Mongolia,MNG,977903,1293880,1697780,2161433,2450979,2702520,3294335
"Northern Mariana Islands",MNP,8702,10143,17613,48002,80338,54087,49587
Mozambique,MOZ,6788375,8411676,11413587,13303459,17768505,23073723,31178239
Mauritania,MRT,838478,1122198,1506694,2006027,2695003,3419461,4498604
Mauritius,MUS,676683,826000,966039,1058775,1186873,1250400,1266014
Malawi,MWI,3621081,4625141,6267369,9539665,11229387,14718422,19377061
Malaysia,MYS,7833782,10306508,13215707,17517054,22945150,28717731,33199993
Namibia,NAM,590181,754467,975994,1369011,1819141,2099271,2489098
"New Caledonia",NCL,79000,112000,140050,170899,213230,249750,271080
Niger,NER,3497431,4669708,6173177,8370648,11622665,16647543,24333639
Nigeria,NGA,44928342,55569264,72951439,95214257,122851984,160952853,208327405
Nicaragua,NIC,1789684,2444767,3303309,4227820,5123222,5855734,6755895
Netherlands,NLD,11486631,13038526,14149800,14951510,15925513,16615394,17441500
Norway,NOR,3581239,3875763,4085620,4241473,4490967,4889252,5379475
Nepal,NPL,10167941,12501285,15600442,19616530,24559500,27161567,29348627
Nauru,NRU,4582,6663,7635,9598,10377,10241,12315
"New Zealand",NZL,2371800,2810700,3112900,3329800,3857700,4350700,5090200
Oman,OMN,536553,670693,1017462,1804524,2344253,2881914,4543399
Pakistan,PAK,45954226,59290872,80624057,115414069,154369924,194454498,227196741
Panama,PAN,1126989,1516188,1956987,2449968,3001731,3623617,4294396
Peru,PER,10172207,13562371,17492406,22109099,26654439,29229572,33304756
Philippines,PHL,28486871,37435586,48419546,61558898,77958223,94636700,112190977
Palau,PLW,9446,11366,12252,15293,19726,18540,17972
"Papua New Guinea",PNG,1985666,2489059,3104788,3864972,5508297,7583269,9749640
Poland,POL,29637450,32664300,35574150,38110782,38258629,38042794,37899070
"Puerto Rico",PRI,2358000,2718000,3206000,3537000,3810605,3721525,3281557
"Korea, Democratic People's Republic of",PRK,11655666,14996879,17973650,20799523,23367059,24686435,25867467
Portugal,PRT,8857716,8680431,9766312,9983218,10289898,10573100,10297081
Paraguay,PRY,1894829,2408787,3078912,4059195,5123819,5768613,6618695
"French Polynesia",PYF,84851,117891,163591,211089,250927,283788,301920
Qatar,QAT,36385,118007,277450,441675,645937,1713504,2760385
Romania,ROU,18406905,20250398,22207282,23201835,22442971,20246871,19265250
Russia,RUS,119897000,130404000,139010000,147969406,146596869,142849468,145245148
Rwanda,RWA,2966162,3896367,5247532,7319962,8109989,10309031,13146362
"Saudi Arabia",SAU,4165563,6106191,10171710,16004763,21547390,29411929,35997107
Sudan,SDN,8326462,11305206,16673586,21090886,26298773,33739933,44440486
Senegal,SEN,3273177,4367744,5703869,7536001,9704287,12530121,16436120
Singapore,SGP,1646400,2074507,2413945,3047132,4027887,5076732,5685807
"Solomon Islands",SLB,133440,172833,233668,324171,429978,540394,691191
"Sierra Leone",SLE,2301310,2778557,3367477,4325388,4584067,6436698,8233970
"El Salvador",SLV,2779327,3619090,4508992,5367179,5958482,6114034,6292731
"San Marino",SMR,15556,18169,21346,23132,26823,31608,34007
Somalia,SOM,2870732,3720977,5892224,6999096,8721465,12026649,16537016
Serbia,SRB,6608000,6972000,7362000,7586000,7516346,7291436,6899126
"South Sudan",SSD,2907724,3342410,4192012,4750817,6114440,9714419,10606227
"Sao Tome and Principe",STP,68038,77583,97210,120343,143714,182138,218641
Suriname,SUR,268396,379918,375112,412756,478998,546080,607065
Slovakia,SVK,4068095,4538223,4979815,5299187,5388720,5391428,5458827
Slovenia,SVN,1584720,1724891,1901315,1998161,1988925,2048583,2102419
Sweden,SWE,7484656,8042801,8310531,8558835,8872109,9378126,10353442
Swaziland,SWZ,345065,442865,598564,854011,1030496,1099920,1180655
