Oman,3,3,3,3,2.8,2.7,2.6,2.5,2.5
Pakistan,4986.79,4511.26,4093.73,3932.6,3868.24,3849.92,3808.58,3767.24,3725.9
Palau,38.15,39.58,40.56,40.99,41.08,41.16,41.25,41.33,41.41
Palestine (Desk study),9.08,9.08,9.95,10.14,10.14,10.14,10.14,10.14,10.14
Panama,4607.4,4442.14,4327.99,4270.91,4259.5,4248.08,4236.67,4225.25,4213.84
Papua New Guinea,36399.68,36277.97,36178.89,36024.42,35989.88,35956.35,35922.82,35889.29,35855.76
Paraguay,25545.86,22991.65,19570.21,17498.94,17333.13,16940.27,16660.93,16381.6,16102.26
Peru,76448.54,75297.83,74049.8,73194.53,73010.28,72834.78,72676.04,72503.2,72330.37
Philippines,7778.81,7309.26,6839.72,7014.15,7049.04,7083.93,7118.81,7153.7,7188.59
Pitcairn (Desk study),3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Poland,8882,9059,9329,9420,9435,9447,9459,9471,9483
Portugal,3399,3281,3252,3312,3312,3312,3312,3312,3312
Puerto Rico,320.33,429.15,491.45,493.88,494.37,494.86,495.35,495.84,496.33
Qatar (Desk study),0,0,0,0,0,0,0,0,0
Republic of Korea,6551,6476,6387,6337,6325,6317,6307,6297,6287
Republic of Moldova,325.4,344.4,374.5,386.4,386.5,386.5,386.5,386.5,386.5
Réunion,87.95,90.97,93.99,96.04,96.52,97,97.48,97.96,98.44
Romania,6371,6366,6515,6900.96,6929.05,6929.05,6929.05,6929.05,6929.05
Russian Federation,808949.9,809268.5,815135.6,814930.46,815121.03,815311.6,815311.6,815311.6,815311.6
Rwanda (Desk study),317,287,265,270,272,273,274,275,276
Saint Barthélemy (Desk study),0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
Saint Helena (Desk study),2,2,2,2,2,2,2,2,2
Saint Kitts and Nevis (Desk study),11,11,11,11,11,11,11,11,11
Saint Lucia,21.27,21.01,20.77,20.77,20.77,20.77,20.77,20.77,20.77
Saint Pierre and Miquelon (Desk study),1.9,1.67,1.44,1.33,1.31,1.29,1.26,1.24,1.22
Saint Vincent and the Grenadines,27.54,28.54,28.54,28.54,28.54,28.54,28.54,28.54,28.54
Saint-Martin (French Part) (Desk study),1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24
Samoa,176.13,171.31,166.49,164.07,163.59,163.11,162.63,162.15,161.67
San Marino (Desk study),1,1,1,1,1,1,1,1,1
Sao Tome and Principe,58.62,58.36,58.1,55,54.38,53.76,53.14,52.52,51.9
Saudi Arabia (Desk study),977,977,977,977,977,977,977,977,977
Senegal,9303.16,8853.16,8468.16,8268.16,8228.16,8188.16,8148.16,8108.16,8068.16
Serbia,2313,2460,2713,2719.53,2720.18,2721.86,2722,2722.22,2722.65
Seychelles,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7
Sierra Leone,3126.7,2929.43,2732.16,2633.53,2613.8,2594.07,2574.34,2554.61,2534.88
Singapore,14.83,17.01,17.74,16.47,16.29,16.11,15.93,15.75,15.57
Sint Maarten (Dutch part) (Desk study),0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
Slovakia,1902.48,1901.41,1917.91,1921.75,1923.37,1925.9,1925.9,1925.9,1925.9
Slovenia,1188,1233,1247,1248,1245.97,1243.93,1241.9,1239.86,1237.83
Solomon Islands,2544.91,2537.6,2530.28,2526.62,2525.89,2525.16,2524.43,2523.7,2522.97
Somalia,8282.5,7515,6747.5,6363.75,6287,6210.25,6133.5,6056.75,5980
South Africa,18142.09,17778.09,17414.09,17232.09,17195.69,17159.29,17122.89,17086.49,17050.09
